Unnamed: 0,CampaignID,GoalAmount,RaisedAmount,DurationDays,NumBackers,Category,LaunchMonth,Country,Currency,OwnerExperience,VideoIncluded,SocialMediaPresence,NumUpdates,IsSuccessful
0,CID_00000,76159,73518.02895458053,15,1903,Film,September,Australia,GBP,11,Yes,41758,3,0
1,CID_00001,69394,60068.68328829211,49,469,Art,October,Australia,GBP,7,Yes,79112,48,0
2,CID_00002,18652,22958.153469639627,58,148,Film,February,USA,EUR,17,No,3942,9,1
3,CID_00003,19487,24229.048389653817,39,780,Film,October,Germany,AUD,10,No,22047,35,1
4,CID_00004,26734,17984.630310924433,68,1622,Games,September,Australia,AUD,12,Yes,72568,17,0
5,CID_00005,33621,26373.54114484342,88,819,Film,April,USA,EUR,8,No,73736,25,0
6,CID_00006,77380,59282.025167388725,47,1214,Art,June,UK,CAD,14,Yes,24899,42,0
7,CID_00007,2510,1631.4183607999023,65,1487,Music,September,Australia,CAD,17,No,55200,1,0
8,CID_00008,83434,59637.68697851212,72,225,Technology,February,Australia,CAD,17,No,90320,38,0
9,CID_00009,43798,50387.41949692357,53,1304,Film,July,Australia,GBP,2,Yes,27659,27,1
10,CID_00010,52624,78626.48071790327,76,1752,Music,July,USA,AUD,14,Yes,72397,36,1
11,CID_00011,86481,116265.10227714814,40,408,Film,September,Australia,AUD,13,No,76723,39,1
12,CID_00012,4133,6094.482086373881,33,1289,Technology,October,Germany,EUR,15,Yes,40931,19,1
13,CID_00013,13858,7455.957968118962,24,831,Games,March,Canada,EUR,15,Yes,43628,38,0
14,CID_00014,87122,52347.040519770206,28,857,Technology,June,Germany,CAD,0,Yes,69570,16,0
15,CID_00015,21292,12570.625845846838,74,1362,Games,March,Germany,CAD,4,Yes,57741,30,0
16,CID_00016,97747,131246.33969215993,41,212,Games,March,Australia,GBP,1,No,81927,8,1
17,CID_00017,56973,54633.47666665403,23,1492,Games,March,Australia,AUD,13,No,74286,10,0
18,CID_00018,74844,93851.26600574408,64,1043,Art,October,UK,GBP,1,No,95833,38,1
19,CID_00019,68884,41111.32433266951,62,1700,Music,January,Canada,AUD,5,No,19809,35,0
20,CID_00020,88555,121332.35107954592,74,1919,Games,September,Australia,AUD,13,No,13210,15,1
21,CID_00021,18385,26700.462893633543,67,248,Art,October,USA,GBP,18,Yes,42372,42,1
22,CID_00022,41548,37731.48347992228,74,1862,Film,February,USA,USD,11,No,12995,3,0
23,CID_00023,54465,36947.920703691954,24,1778,Art,June,Australia,EUR,0,No,99115,29,0
24,CID_00024,71329,86039.96656537187,61,1587,Games,October,Canada,USD,0,Yes,99464,46,1
25,CID_00025,22114,26608.22507858178,23,77,Games,March,Canada,CAD,8,Yes,42245,6,1
26,CID_00026,73624,47556.86723677453,19,1548,Film,September,USA,GBP,13,No,45199,24,0
27,CID_00027,17270,13239.357876329055,43,42,Technology,October,Australia,AUD,8,Yes,58811,3,0
